,outlet,Trump,Pandemic_Impact,Business,Biden,Covid_Spread,China,US_Election,Work_From_Home,Stock_Market,Police_Protests,Health_Wellness,US_Supreme_Court,Gender_Equality,Economy,Education,Brexit_EU,Climate_Change,(Un)employeement,Technology,Hong_Kong,Self-Help,Covid_Vaccine,Personal_Finance,Parenting,Cars,Global_Lockdown
0,The Financial Times,0.0020968284674564843,0.0018499986597273932,0.0017009093207032277,0.0013094370152400634,0.002442799156547506,0.004224189460461712,0.0023909522080630733,0.000939346583294895,0.002884928974570438,0.0012832359379005528,0.001694826348315207,0.0011307861530332375,0.0010164655751405246,0.002664284109057788,0.0010904571511768744,0.008612191042102374,0.0014949409738919065,0.0014790539011932183,0.0027952994130706157,0.003109544280186121,0.0013153843754784528,0.0014461654587797459,0.0016665960291267468,0.0012967606372556477,0.0011134255858786177,0.005063148405697721
1,Medium,0.0005762161531575059,0.0006088415523903786,0.0007020444710413921,0.0003040826408665205,0.0007036806192720306,0.00045905015462431126,0.0005445157550921592,0.0004923411196047514,0.0004576823469679165,0.0008031000155556816,0.0019760540011641526,0.0004922012926407287,0.002848438147409775,0.00043316799214847946,0.0009353564057859321,0.00041957341900479675,0.0012797744357750203,0.0009063543125220285,0.002952097242091394,0.0002685472180882424,0.0017798071672845918,0.0006855230963931226,0.0009232661282246362,0.0020425965362205483,0.0007862211750019273,0.0011308532866583822
2,The New Yorker,0.00258438636338501,0.0009576456305896839,0.0002541887618876704,0.001411519859394689,0.0006470679506418297,0.0005270711872434095,0.0012153518150507657,0.00048138803196385915,0.00029808893275339737,0.001265298141405373,0.0008605415084183149,0.001203812199778454,0.0018131604880879677,0.00039975604867674,0.0008962129529410041,0.0009169590582993488,0.0015065232855464006,0.0005228750341008572,0.0013785195124623392,0.0004926454743222955,0.0017606148319692988,0.0005805101271029869,0.0006911248829654297,0.002175109855984763,0.0007126606732791349,0.001487933429798332
3,The Atlantic,0.001784068369368947,0.0010001998085892075,0.0002997256831774612,0.0011160904974215201,0.0007615352326606978,0.0006977600654964124,0.001105832496956042,0.000379025538452855,0.00028141430226591603,0.000924912421100219,0.0009636259127819221,0.0012709985810783018,0.0015269448964479945,0.0004332492625221468,0.0010833834734170556,0.0008810487549744261,0.00113147534671757,0.000542672969429176,0.0012969931075084379,0.0006898793517798431,0.0011713826306091323,0.0004887454123598807,0.000626798723520257,0.0019036248680807792,0.0004981945229577659,0.0014059213165245285
4,The Economist,0.0010770594241492552,0.001622659936760719,0.0005682855944863538,0.0011227623531283111,0.000796438889502455,0.0027062583685734673,0.0017666273140319849,0.0004433465527520508,0.0009136769610870091,0.0009567369331366775,0.0008299416015806535,0.0008871858929765398,0.0007779424602644178,0.001389187234556712,0.0009423414570651731,0.0018060719303810903,0.0013792470075329871,0.0007285088317821787,0.0014537568590198824,0.0011766650373831883,0.0009634658693405347,0.0009300128421117126,0.0015039039370849721,0.0012319868186528905,0.0006762521703135891,0.002166590282639148
5,Wired,0.0006377652751846744,0.0007514081583740314,0.0014258452126127135,0.00033436141640756374,0.0009497342402419589,0.0008566495099591816,0.0008353482613246893,0.0008917840178643315,0.0006619103802194769,0.0008524545795990925,0.0015806055814586704,0.0005015825985443794,0.0010753413171995,0.0003569084491372937,0.0009616593349390659,0.000641192022971323,0.0020793043747525763,0.000769346172803516,0.007508042173460535,0.0005599062299757735,0.0015880887229517227,0.0009782454128818162,0.0011961079551380256,0.001738603922919204,0.002421023154431215,0.0019068446145512105
6,Wall Street Journal,0.002055085618371956,0.003995803582676435,0.0021816019393973295,0.0022785299302363012,0.0024265050823021055,0.0028125047133396165,0.0017421760330325426,0.0015511960100286501,0.0033742906275362238,0.002377361538523014,0.0022795541151616294,0.0024362418750729347,0.0011409972477034983,0.002323881448163759,0.002478077059376628,0.0014219297581830703,0.0010574711203035524,0.0018648523268293173,0.0033294158638180926,0.0017759306475615849,0.0015190669506277472,0.001768674626429528,0.0016675205984752349,0.0021311137793125143,0.0013810386373738768,0.0043415425320260876
7,Business Insider,0.0012413721905411995,0.0025179594918901395,0.002545364888344975,0.0009973976392255004,0.0009505564909807891,0.0009934581101850273,0.0014454645308619861,0.0013255666334470576,0.004580664454625681,0.000688886815545457,0.0013556746493919667,0.0008222097412687653,0.0008849436291631589,0.001144981011440469,0.0015305774258094194,0.0015909525348690905,0.0008584149360263213,0.0027312877821126934,0.0063543005432698104,0.0005336915299150423,0.0016668416553862325,0.0011825528532717878,0.003529065398180176,0.0013305965525026145,0.004414309784912601,0.0018537340340901523
8,New York Times,0.003340278817716511,0.00316505207658558,0.0009351597321433676,0.0034858685723830798,0.0037900836945929973,0.0019215090974749518,0.002552758932215227,0.00142322441889191,0.000989242654355795,0.004012177668350208,0.003917472334838009,0.0030648326447185368,0.0024683870458457255,0.001401894153950441,0.002842919719213664,0.0015615870066003656,0.001908708786911021,0.0016388174030383593,0.002480586610598204,0.0015512775492204061,0.0015407692140332705,0.0016649112504769632,0.0013656482502194976,0.003393464845186684,0.0012649540689935845,0.0057532937395964245
9,The Washington Post,0.004698487401507265,0.0027907173015547745,0.0004704701870419879,0.0031095555532782834,0.002152217015774476,0.0013853379080073747,0.0028079832471846473,0.0008852516368177838,0.0006280752251194648,0.003783372996714663,0.0023651375230475486,0.0036627003605288807,0.0019145564915966054,0.0012187361693258272,0.002358371799730352,0.00108118402662643,0.0012828614725807481,0.0010972608933514894,0.0020681325433578803,0.0010559354717177287,0.0010478733460828867,0.0015281624805560923,0.0010545811884405318,0.0022459099374250685,0.0006949581397777254,0.0034286329615027564
